# start - Sun May 27 21:49:34 2018
# beta: 0.016393
# n_ensamble / n_max: 8000.000000 / 40000.000000
# initial energy: 10580.532618
#
# energy acceptance step
      6934 1.00000000 0.5
      6950 0.50000000 0.5
      6969 0.60000000 0.5
      6972 0.57142857 0.5
      6982 0.62500000 0.51
      7026 0.66666667 0.52
      7058 0.70000000 0.52
      7077 0.66666667 0.53
      7079 0.64285714 0.54
      7111 0.66666667 0.55
      7127 0.61111111 0.56
      7111 0.63157895 0.57
      7187 0.65000000 0.57
      7205 0.66666667 0.58
      7182 0.68181818 0.59
      7190 0.69565217 0.59
      7226 0.68000000 0.6
      7234 0.69230769 0.61
      7292 0.70370370 0.62
      7299 0.68965517 0.63
      7362 0.67741935 0.64
      7368 0.66666667 0.65
      7394 0.67647059 0.66
      7480 0.68571429 0.67
      7504 0.67567568 0.68
      7593 0.68421053 0.69
      7619 0.69230769 0.69
      7631 0.66666667 0.72
      7640 0.67441860 0.72
      7683 0.68181818 0.73
      7762 0.67391304 0.74
      7802 0.66666667 0.76
      7755 0.67346939 0.77
      7745 0.64150943 0.8
      7767 0.64814815 0.81
      7794 0.65454545 0.81
      7800 0.66071429 0.82
      7900 0.66666667 0.83
      8001 0.62903226 0.87
      7973 0.62500000 0.89
      7999 0.62121212 0.91
      8022 0.62686567 0.92
      8129 0.60563380 0.95
      8151 0.60273973 0.97
      8172 0.60810811 0.98
      8196 0.61333333 0.99
      8272 0.60256410 1
      8299 0.59259259 1.1
      8274 0.59756098 1.1
      8337 0.54945055 1.2
      8575 0.54838710 1.2
      8602 0.52000000 1.2
      8671 0.52475248 1.2
      8658 0.50000000 1.2
      8575 0.50000000 1.2
      8618 0.49557522 1.2
      8505 0.48717949 1.2
      8429 0.49152542 1.2
      8269 0.48760331 1.2
      8236 0.48780488 1.2
      8208 0.49193548 1.2
      8266 0.49206349 1.2
      8204 0.47368421 1.2
      8196 0.47058824 1.2
      8177 0.46428571 1.2
      8134 0.44594595 1.1
      8341 0.44370861 1.1
      8336 0.44736842 1.1
      8364 0.43670886 1
      8373 0.42682927 0.95
      8431 0.42261905 0.92
      8341 0.42603550 0.91
      8402 0.42690058 0.89
      8462 0.42774566 0.87
      8418 0.42613636 0.84
      8388 0.42696629 0.83
      8302 0.42307692 0.8
      8302 0.42622951 0.79
      8316 0.42934783 0.78
      8383 0.43243243 0.77
      8373 0.42857143 0.74
      8545 0.42708333 0.72
      8595 0.43005181 0.71
      8621 0.43298969 0.7
      8633 0.43147208 0.68
      8600 0.43216080 0.67
      8638 0.43283582 0.66
      8551 0.43564356 0.65
      8574 0.42995169 0.62
      8585 0.42452830 0.59
      8573 0.42723005 0.58
