# start - Mon May 28 01:20:03 2018
# beta: 0.016667
# n_ensamble / n_max: 1000.000000 / 40000.000000
# initial energy: 5845394.428599
#
# energy acceptance step
 5.845e+06 0.00806452 1.2e-06
 5.845e+06 0.01587302 9.5e-07
 5.845e+06 0.02325581 7e-07
 5.845e+06 0.03053435 5.6e-07
 5.845e+06 0.03787879 5.1e-07
 5.845e+06 0.04379562 3e-07
 5.845e+06 0.04929577 1.8e-07
 5.845e+06 0.05517241 1.3e-07
 5.845e+06 0.06122449 1e-07
 5.845e+06 0.06711409 8.5e-08
 5.845e+06 0.07333333 7.6e-08
 5.845e+06 0.07947020 6.8e-08
 5.845e+06 0.08552632 6.2e-08
 5.845e+06 0.09150327 5.5e-08
 5.845e+06 0.09740260 5e-08
 5.845e+06 0.10322581 4.5e-08
 5.845e+06 0.10897436 4e-08
 5.845e+06 0.11392405 3.3e-08
 5.845e+06 0.11949686 2.9e-08
 5.845e+06 0.12500000 2.7e-08
 5.845e+06 0.13043478 2.4e-08
 5.845e+06 0.13496933 1.9e-08
 5.845e+06 0.14024390 1.7e-08
 5.845e+06 0.14457831 1.4e-08
 5.845e+06 0.14970060 1.3e-08
 5.845e+06 0.15476190 1.1e-08
 5.845e+06 0.15976331 1e-08
 5.845e+06 0.16470588 9.2e-09
 5.845e+06 0.16959064 8.3e-09
 5.845e+06 0.17441860 7.5e-09
 5.845e+06 0.17919075 6.7e-09
 5.845e+06 0.18390805 6.1e-09
 5.845e+06 0.18857143 5.5e-09
 5.845e+06 0.19318182 4.9e-09
 5.845e+06 0.19774011 4.4e-09
 5.845e+06 0.20224719 4e-09
 5.845e+06 0.20670391 3.6e-09
 5.845e+06 0.21111111 3.2e-09
 5.845e+06 0.21546961 2.9e-09
 5.845e+06 0.21978022 2.6e-09
 5.845e+06 0.22404372 2.4e-09
 5.845e+06 0.22826087 2.1e-09
 5.845e+06 0.23243243 1.9e-09
 5.845e+06 0.23655914 1.7e-09
 5.845e+06 0.24064171 1.5e-09
 5.845e+06 0.24468085 1.4e-09
 5.845e+06 0.24867725 1.2e-09
 5.845e+06 0.25263158 1.1e-09
 5.845e+06 0.25654450 1e-09
 5.845e+06 0.26041667 9.1e-10
 5.845e+06 0.26424870 8.2e-10
 5.845e+06 0.26804124 7.4e-10
 5.845e+06 0.27179487 6.6e-10
 5.845e+06 0.27551020 6e-10
 5.845e+06 0.27918782 5.4e-10
 5.845e+06 0.28282828 4.8e-10
 5.845e+06 0.28643216 4.4e-10
 5.845e+06 0.29000000 3.9e-10
 5.845e+06 0.29353234 3.5e-10
 5.845e+06 0.29702970 3.2e-10
 5.845e+06 0.30049261 2.9e-10
 5.845e+06 0.30392157 2.9e-10
 5.845e+06 0.30731707 2.9e-10
 5.845e+06 0.31067961 2.9e-10
 5.845e+06 0.31400966 2.9e-10
 5.845e+06 0.31730769 2.9e-10
 5.845e+06 0.32057416 2.9e-10
 5.845e+06 0.32380952 2.9e-10
 5.845e+06 0.32701422 2.9e-10
 5.845e+06 0.33018868 2.9e-10
 5.845e+06 0.33333333 2.9e-10
 5.845e+06 0.33644860 2.9e-10
